id,recipe,link,imgLink,subCatId
R02814,Avocado Tuna Salad,https://www.allrecipes.com/recipe/272787/avocado-tuna-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9146010.jpg,SC088
R02815,The BEST Macaroni Salad You Will EVER Have!!,https://www.allrecipes.com/recipe/232985/the-best-macaroni-salad-you-will-ever-have/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1017745.jpg,SC088
R02816,Zippy Tuna,https://www.allrecipes.com/recipe/241379/zippy-tuna/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2099440.jpg,SC088
R02817,New Wife Tuna Salad,https://www.allrecipes.com/recipe/73223/new-wife-tuna-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F818338.jpg,SC088
R02818,Easy Tuna Pasta Salad,https://www.allrecipes.com/recipe/279892/easy-tuna-pasta-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8023490.jpg,SC088
R02819,Tuna and Macaroni Salad,https://www.allrecipes.com/recipe/272790/tuna-and-macaroni-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2341910.jpg,SC088
R02820,Creamy and Crunchy Tuna Salad Supreme,https://www.allrecipes.com/recipe/237259/creamy-and-crunchy-tuna-salad-supreme/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1178116.jpg,SC088
R02821,Greek-Style Tuna Salad,https://www.allrecipes.com/recipe/215899/greek-style-tuna-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F565399.jpg,SC088
R02822,Gourmet Tuna Salad,https://www.allrecipes.com/recipe/14372/gourmet-tuna-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F156765.jpg,SC088
R02823,Tuna Pasta Salad,https://www.allrecipes.com/recipe/12037/tuna-pasta-salad/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F41472.jpg,SC088
R02824,Tuna Lettuce Wraps,https://www.allrecipes.com/recipe/278456/tuna-lettuce-wraps/,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7855198.jpg,SC088
